name,page,category,x,y
presentation_scrum.pdf,0,Software Entwicklung 2,7.995811939239502,35.69429016113281
presentation_scrum.pdf,1,Software Entwicklung 2,7.575610160827637,36.31378936767578
presentation_scrum.pdf,2,Software Entwicklung 2,7.965237140655518,35.355228424072266
presentation_scrum.pdf,3,Software Entwicklung 2,6.814507484436035,36.487403869628906
presentation_scrum.pdf,4,Software Entwicklung 2,13.79750919342041,26.230384826660156
presentation_scrum.pdf,5,Software Entwicklung 2,6.4655632972717285,37.859439849853516
presentation_scrum.pdf,6,Software Entwicklung 2,7.944882392883301,35.33724594116211
presentation_scrum.pdf,7,Software Entwicklung 2,6.614382743835449,37.66255187988281
presentation_scrum.pdf,8,Software Entwicklung 2,9.89655876159668,32.263671875
presentation_scrum.pdf,9,Software Entwicklung 2,8.664194107055664,30.26952362060547
presentation_scrum.pdf,10,Software Entwicklung 2,8.678329467773438,30.21159553527832
presentation_scrum.pdf,11,Software Entwicklung 2,5.686001777648926,38.42259979248047
presentation_scrum.pdf,12,Software Entwicklung 2,13.027663230895996,26.726430892944336
presentation_scrum.pdf,13,Software Entwicklung 2,4.715334415435791,40.695220947265625
presentation_scrum.pdf,14,Software Entwicklung 2,4.620899200439453,40.80588150024414
presentation_scrum.pdf,15,Software Entwicklung 2,5.938753128051758,37.921730041503906
presentation_scrum.pdf,16,Software Entwicklung 2,6.794909954071045,36.63945388793945
presentation_scrum.pdf,17,Software Entwicklung 2,5.596480846405029,37.61970901489258
presentation_scrum.pdf,18,Software Entwicklung 2,5.914690971374512,39.839210510253906
presentation_scrum.pdf,19,Software Entwicklung 2,5.650784492492676,39.86508560180664
presentation_scrum.pdf,20,Software Entwicklung 2,6.938360691070557,39.06962585449219
presentation_scrum.pdf,38,Software Entwicklung 2,10.174691200256348,37.81049728393555
3-Endliche-Automaten_HO.pdf,68,Theoretische Informatik,99.90447235107422,25.715028762817383
presentation_scrum.pdf,21,Software Entwicklung 2,6.955531597137451,38.542686462402344
presentation_scrum.pdf,22,Software Entwicklung 2,6.923795700073242,39.057090759277344
presentation_scrum.pdf,23,Software Entwicklung 2,5.428580284118652,41.2933349609375
presentation_scrum.pdf,24,Software Entwicklung 2,7.734457015991211,39.66593933105469
presentation_scrum.pdf,25,Software Entwicklung 2,7.78903341293335,39.803443908691406
presentation_scrum.pdf,26,Software Entwicklung 2,7.806866645812988,39.74201965332031
presentation_scrum.pdf,27,Software Entwicklung 2,5.700974941253662,39.8520622253418
presentation_scrum.pdf,28,Software Entwicklung 2,4.943173885345459,39.349388122558594
presentation_scrum.pdf,29,Software Entwicklung 2,4.721834182739258,38.76344680786133
