Webentwicklung;-5.410460948944092;17.36886215209961;914
Analysis;78.27501678466797;47.350799560546875;305
Codierung und Information;34.40598678588867;68.13478088378906;642
Hoehere Mathematik;75.85323333740234;43.39609909057617;168
Programmieren;-59.40087890625;-29.360864639282227;649
Maschinelles Lernen;-5.39762544631958;57.81633758544922;569
Kommunikations Technik;-15.147504806518555;72.49192810058594;20
Datenstrukturen und Algorithmen;0.2663124203681946;-3.535454034805298;718
Software Entwicklung;-59.668174743652344;-33.21352005004883;791
Systemnahe Programmierung;-48.08675765991211;-1.7865315675735474;438
Software Security;-24.030818939208984;-99.8432846069336;699
Elektro Technik;40.152992248535156;-40.43812942504883;1127
Lineare Algebra;96.35186004638672;-4.3075079917907715;153
Datenbank;-16.675134658813477;-37.6611442565918;498
Theoretische Informatik;43.58634948730469;31.64398956298828;478
Computer Technik;-46.00044250488281;40.231204986572266;775
Diskete Mathematik;58.934654235839844;-6.571357250213623;118
Betriebsystem;-81.45564270019531;27.401731491088867;420
Stochastik und Statistik;60.59381103515625;66.91026306152344;174
Predictive Analytics;32.39683151245117;57.79637908935547;442
Artificial Intelligence;84.10823059082031;-31.403505325317383;314
ItSecurity;16.704057693481445;-74.87091827392578;522
